Type,Statement Price Movement,Test Size,Number of Matching Sentences,Accuracy,F1 Score,Precision,Recall,Insights
Statement Similarity Score,positive,0.2,15,0.5833333333333334,0.7058823529411765,0.8571428571428571,0.6,"Higher average similarity scores (generally above 0.35) are correlated with 'High' price volatility, while scores below this threshold often indicate 'Low' price volatility. The trend suggests that greater alignment with the baseline content reflects increased market uncertainty or response."
News Similarity Score,positive,0.2,20,0.6666666666666666,0.75,1.0,0.6,"The analysis indicates a positive correlation between the Average Similarity Score and price volatility. Similarity scores above approximately 0.42 tend to associate with High price volatility, while those below generally indicate Low volatility."
Statement Similarity Score,positive,0.33,15,0.5789473684210527,0.6923076923076923,0.9,0.5625,"Higher average similarity scores (generally above 0.35) tend to correlate with high price volatility, while lower scores (below 0.30) are often associated with low price volatility. Scores between these ranges show mixed volatility outcomes."
News Similarity Score,positive,0.33,20,0.6842105263157895,0.8,0.8571428571428571,0.75,"Higher average similarity scores (above approximately 0.44) tend to correlate with high price volatility, while scores below this threshold often indicate low price volatility."
Statement Similarity Score,negative,0.2,15,0.3,0.36363636363636365,1.0,0.2222222222222222,"Higher average similarity scores (above 0.32) tend to correlate with High price volatility, whereas lower scores (below 0.32) generally indicate Low price volatility."
News Similarity Score,negative,0.2,20,0.4,0.5714285714285714,0.8,0.4444444444444444,"The average similarity score appears to be inversely correlated with price volatility. Scores above approximately 0.45 generally predict High volatility, while scores below this threshold tend to predict Low volatility."
Statement Similarity Score,negative,0.33,15,0.5625,0.72,0.9,0.6,"Higher Average Similarity Scores (generally above 0.33) are associated with High price volatility, while scores below this threshold tend to indicate Low price volatility. The patterns suggest that when there is significant similarity in the language and sentiment of key economic communications, markets anticipate more uncertainty and volatility."
News Similarity Score,negative,0.33,20,0.75,0.8461538461538461,1.0,0.7333333333333333,"The analysis of the training data reveals that a higher average similarity score (generally above 0.450) correlates with high price volatility, while scores below approximately 0.430 tend to indicate low price volatility. Scores between these thresholds may exhibit mixed results."
Statement Similarity Score,positive,0.2,20,0.5833333333333334,0.6666666666666666,1.0,0.5,"Higher Average Similarity Scores (above 0.33) tend to correlate with High price volatility, while scores below this threshold correlate with Low volatility."
News Similarity Score,positive,0.2,25,0.8333333333333334,0.8888888888888888,1.0,0.8,"Records with higher average similarity scores (generally above 0.4) tend to exhibit high price volatility, while scores lower than 0.4 are more associated with low volatility."
Statement Similarity Score,positive,0.33,20,0.6842105263157895,0.8125,0.8125,0.8125,"There is a notable correlation between higher average similarity scores (above approximately 0.3) and increased price volatility, while scores below this threshold tend to indicate lower volatility."
News Similarity Score,positive,0.33,25,0.6842105263157895,0.8,0.8571428571428571,0.75,"Higher average similarity scores (above approximately 0.440) are generally associated with High price volatility, while lower scores (around 0.360 or lower) correspond to Low price volatility."
Statement Similarity Score,negative,0.2,20,0.3,0.46153846153846156,0.75,0.3333333333333333,"Higher average similarity scores tend to correlate with High price volatility, while lower scores are more likely associated with Low volatility. A threshold around 0.30 appears significant for distinguishing volatility levels."
News Similarity Score,negative,0.2,25,0.8,0.875,1.0,0.7777777777777778,"A higher average similarity score (generally above 0.45) is associated with high price volatility, while lower scores (typically below 0.42) often indicate low volatility. Records with scores around 0.4 may show mixed results, emphasizing the need for careful consideration at that threshold."
Statement Similarity Score,negative,0.33,20,0.8125,0.896551724137931,0.9285714285714286,0.8666666666666667,"Higher average similarity scores (typically above 0.30) are associated with High price volatility, whereas lower scores (typically below 0.27) indicate Low volatility. The threshold score around 0.30 appears to be a key indicator for increased volatility."
News Similarity Score,negative,0.33,25,0.8125,0.896551724137931,0.9285714285714286,0.8666666666666667,"Higher average similarity scores (generally above 0.4) correlate strongly with High price volatility, while scores below this threshold often indicate Low volatility."
Statement Similarity Score,positive,0.2,25,0.8333333333333334,0.9,0.9,0.9,"Higher average similarity scores (above approximately 0.29) tend to correlate with high price volatility, while scores below this threshold often indicate low volatility."
News Similarity Score,positive,0.2,30,0.75,0.8421052631578947,0.8888888888888888,0.8,"Higher average similarity scores (around 0.4 and above) are associated with High price volatility, while scores below approximately 0.35 often indicate Low price volatility. This trend indicates a threshold effect where increasing similarity correlates with greater market uncertainty."
Statement Similarity Score,positive,0.33,25,0.5789473684210527,0.6923076923076923,0.9,0.5625,"Higher average similarity scores typically correlate with High price volatility. Scores above approximately 0.27 suggest a trend towards High volatility, while scores below this threshold often indicate Low volatility."
