,title,publishedAt,description,content,url
0,Will Biden stick with Powell at the Fed?,2021-04-28T16:44:01Z,President Joe Biden has a lot on his plate right now. But he'll soon need to make an important decision about the future of the Federal Reserve — a choice that will help shape his administration's economic policy in the coming years.,"New York (CNN Business) President Joe Biden has a lot on his plate right now. But he'll soon need to make an important decision about the future of the Federal Reserve — a choice that will help shape his administration's economic policy in the coming years.
It should seemingly be an easy decision for Biden to renominate Powell. But there's also a case to be made for Biden to follow the lead of his immediate predecessor and go with his own man or woman for Fed chair
On the ""keep Powell"" side, the central bank chief has won praise from Wall Street and economists for how the Fed quickly launched new lending programs and bond purchases last year to help prevent the economy from plunging into an even deeper recession due to Covid-19.
And there's precedent for Biden to stick with Powell so he can continue to manage the central bank's response to this economic crisis: After all, Biden's former boss, President Barack Obama, did exactly that when he re-nominated Ben Bernanke for a second term as Fed chair during the aftermath of the Great Recession.
JUST WATCHED Powell: We want to see 'substantial progress' in the labor market Replay More Videos ... MUST WATCH Powell: We want to see 'substantial progress' in the labor market 03:33
""I'm not sure Biden wants to change horses midstream. There is a nasty history of new Fed chairs getting tested early in their first term and I don't think Biden wants to court that,"" said Steve Sosnick, chief strategist with Interactive Brokers. ""I also don't think Biden is unhappy with Powell. You can't argue with what Powell has done for the economy overall, not just the stock market.""
Still, it's possible Biden will choose to put his own stamp on the Fed. President Donald Trump chose not to renominate Bernanke's successor, Janet Yellen, instead going with Powell. (Yellen is now Biden's Treasury secretary.)
If Biden does want to make a change, he has plenty of options.
A new Fed chair could further increase diversity in DC
Wall Street would probably be on board with current Fed governor Lael Brainard , former Fed vice chair and current TIAA CEO Roger Ferguson or Atlanta Fed chief Raphael Bostic — all of whom had been rumored as potential picks for Treasury secretary.
And each one of them could make history if Biden tapped them to lead the Fed.
Brainard would be only the second woman (after Yellen) to be Fed chair and the nomination would send a strong message if Biden chose to have women in two of Washington's most powerful economic roles. And either Ferguson, who is set to soon retire from TIAA, or Bostic, would be the first Black chair in the Fed's more than 100-year history.
Sosnick told CNN Business that there is ""no need for change for change's sake"" at the Fed. Many other market observers believe that Powell will get a second term — provided he wants it.
But if not, investors would likely be comfortable with Brainard, Ferguson or Bostic. Strategists say none of them would be likely to change Powell's policies that dramatically and each would likely urge the Fed to keep interest rates near zero for the foreseeable future.
Certainly none of the trio is poised to be the second coming of the late Paul Volcker, the inflation-fighting Fed chair from the 1980s (and predecessor to Alan Greenspan) who raised rates numerous times during his tenure.
""There is nobody that Biden would pick who would operate the Fed much differently than Powell,"" said Tom Graff, head of fixed income at Brown Advisory.
And if the economy continues to recover, then it's only logical for Powell to get one more term as Fed chair.
""The pandemic has altered the calculus. As long as the Fed continues to support Biden's economic policies with low interest rates and higher asset purchases, Biden will be comfortable with Powell at the Fed,"" said Michael Arone, chief investment strategist at State Street Global Advisors.
'Path of least resistance' for economy and market
Arone added that replacing Powell makes sense only if the economy drastically starts to cool off, which could make Wall Street more receptive to a new Fed chair.
""Biden has to think about how disruptive a change would be to the markets and economy"" Arone said. ""Powell is the path of least resistance.""
But if the recovery stalls out, ""Powell could be the scapegoat and it would be an easy change to name Brainard or Ferguson, which would also fit into the broader Biden diversity agenda,"" Arone said.
The clock on Biden's Fed decision is starting to tick. For context, President Obama announced in August of his first term that he would renominate Bernanke. President Trump nominated Powell in November 2017. So Biden will have to make a choice in the coming months.
The White House had no comment for CNN when asked about whether Biden has made any decision regarding Powell.
Powell has also repeatedly declined to discuss his future when asked about it, and he is likely to do so again when he holds a press conference later Wednesday to discuss monetary policy.
Even if Powell sticks around, experts say Brainard, Ferguson or Bostic may not be warming the bench for long. If Biden is re-elected in 2024 (or if Vice President Kamala Harris runs and wins) any of the three still make sense as a Fed chair to replace Powell in 2026.",https://edition.cnn.com/2021/04/28/economy/federal-reserve-jerome-powell-successor/index.html
1,"Dow, Nasdaq weighed down by Microsoft, Amgen; all eyes on Fed",2021-04-28T16:35:27Z,"The Dow and Nasdaq indexes fell on Wednesday as Amgen and Microsoft weighed, while investors focused on a Federal Reserve meeting for updates on monetary policy and waited for another batch of earnings from big technology firms.","(Reuters) - The Dow and Nasdaq indexes fell on Wednesday as Amgen and Microsoft weighed, while investors focused on a Federal Reserve meeting for updates on monetary policy and waited for another batch of earnings from big technology firms.
FILE PHOTO: A man walks by the Federal Reserve Bank of New York Building in New York City, U.S., April 26, 2021. REUTERS/Shannon Stapleton
The U.S. central bank’s policy statement is expected to largely follow the mold established in December, when the Fed said it would not change monetary policy until there was “substantial further progress” in meeting its maximum employment and 2% inflation goals. The statement is due at 2 p.m. EDT.
“Investors are obviously looking for a continuation of the policy, which is very accommodative,” said Andre Bakhos, managing director at New Vines Capital LLC, New Jersey.
“They don’t want to hear, ‘We are going to raise rates’. If something goes wrong, investors want to know the Fed will be there.”
The S&P 500 touched an all-time high earlier in the session, powered by shares of Google parent Alphabet Inc, which jumped 3.7% after reporting a record profit for the second consecutive quarter and announcing a $50 billion share buyback.
Both Alphabet and the S&P 500 communication services sector, which houses the company, also hit record highs.
Market participants are now prepping for results of Apple Inc and Facebook Inc after markets close.
Facebook Inc is expected to report a rise in first-quarter revenue, while Apple Inc is expected to post a more than 32% jump in second-quarter revenue. Shares of Facebook rose 1.4%, while Apple dipped 0.2%.
At 12:08 p.m. ET the Dow Jones Industrial Average was down 117.71 points, or 0.35%, at 33,867.22, the S&P 500 was up 1.79 points, or 0.04%, at 4,188.51 and the Nasdaq Composite was down 32.39 points, or 0.23%, at 14,057.83.
The tech-heavy Nasdaq on Monday completed a full recovery from its 11% correction that began in February, largely supported by a rise in mega-cap stocks and ebbing inflation fears.
Microsoft Corp met quarterly sales expectations and beat profit estimates, but its shares fell 3.3% and pressured the Nasdaq due to skepticism about one-off benefits included in the results and high hopes after a year-long rally.
Biotech Amgen Inc’s 7.5% decline weighed on the Dow after it said its first-quarter sales and profit fell due to a 7% drop in its net drug prices and a hit from the COVID-19 pandemic.
Boeing Co fell 3.4% after posting a wider-than-expected quarterly loss and pausing 737 MAX deliveries over an electrical issue that has partly re-grounded the fleet.
Overall earnings for S&P 500 companies in the first quarter are expected to jump 39.2% from a year earlier, according to Refinitiv IBES data.
U.S. President Joe Biden is expected to unveil a sweeping $1.8 trillion package for families and education in his first joint speech to Congress, senior White House officials say.
Advancing issues outnumbered decliners by a 1.24-to-1 ratio on the NYSE. Declining issues outnumbered advancers for a 1.06-to-1 ratio on the Nasdaq.
The S&P index recorded 71 new 52-week highs and no new low, while the Nasdaq recorded 87 new highs and 18 new lows.",https://www.reuters.com/article/us-usa-stocks/dow-nasdaq-weighed-down-by-microsoft-amgen-all-eyes-on-fed-idUSKBN2CF1I9
2,"Lloyds, WPP drive FTSE 100 higher; Fed outcome eyed",2021-04-28T16:28:46Z,"London's FTSE 100 climbed on Wednesday, lifted by energy shares and a slew of upbeat earnings updates from companies including Lloyds Banking Group and WPP as investors awaited the U.S. Federal Reserve's policy statement.","(Reuters) -London’s FTSE 100 climbed on Wednesday, lifted by energy shares and a slew of upbeat earnings updates from companies including Lloyds Banking Group and WPP as investors awaited the U.S. Federal Reserve’s policy statement.
Slideshow ( 2 images )
The blue-chip index rose 0.3%, with oil heavyweights BP Plc and Royal Dutch Shell Plc providing the biggest boost as oil prices firmed. [O/R]
WPP rose 2.8% after the world’s biggest advertising company said its underlying net sales returned to growth as clients started to spend to prepare for the global economic recovery.
Lloyds Banking Group added 3.5% after Britain’s biggest domestic bank reported upbeat profit for the first three months of the year.
The wider banking index added 1.4%, rising for the fifth straight session with Barclays and Natwest Group rising ahead of their earnings reports this week.
Worlds stocks neared record highs as focused shifted to the Fed’s statement which is expected to reiterate the U.S. central bank’s pledge of monetary support for some time while awaiting results from heavyweights Apple Inc and Facebook Inc.
“Powell will need to continue walking the fine line between sounding optimistic whilst reining in expectations,” said Fiona Cincotta, senior financial markets analyst at City Index in London.
The FTSE 100 has gained about 8% year-to-date on optimism that speedy COVID-19 vaccinations and constant policy support from the government would drive a stronger economic recovery.
The domestically focused mid-cap FTSE 250 index ended nearly flat.
Reckitt Benckiser Group dropped about 4% as a weak flu season saw fewer people reach for cold remedies and declining birth rates hit sales of baby formula products. Still, the company posted better-than-expected quarterly sales.",https://www.reuters.com/article/britain-stocks/update-2-lloyds-wpp-drive-ftse-100-higher-fed-outcome-eyed-idUSL4N2ML2A0
3,"European stocks end flat between earnings optimism, Fed caution",2021-04-28T16:01:18Z,European stocks ended flat on Wednesday as optimism over a swathe of positive bank earnings was offset by caution setting in before the U.S. Federal Reserve's policy decision.,"(Reuters) -European stocks ended flat on Wednesday as optimism over a swathe of positive bank earnings was offset by caution setting in before the U.S. Federal Reserve’s policy decision.
The German share price index DAX graph is pictured at the stock exchange in Frankfurt, Germany, April 27, 2021. REUTERS/Staff
The pan-European STOXX 600 index ended largely unchanged, with bank stocks .SX7P leading gains among the regional sectors. The subindex ended 1.5% higher.
Deutsche Bank jumped 10.7% to the top of the STOXX 600, as strength at its investment bank helped the German lender post a better-than-expected first-quarter net profit.
Spanish bank Santander rose 2.7% after it beat first-quarter forecasts with its profit, while not adding to provisions for the pandemic and booking record U.S. earnings.
Lloyds Banking Group also rose 3.5% after reporting a better-than-expected profit, while Swedish bank SEB marked small gains on a profit beat.
“At a market level, Europe has performed strongly year-to-date and it’s clear that there has been an anticipation that the recovery will be quite sharp and strong,” said Tom Dorner, investment director for European equities at Aberdeen Standard Investments. “You’re still seeing a rotation in the market in favour of the more cyclical names like banks and autos.”
The buying into cyclicals has seen travel and leisure, automobiles, basic resources and banks among the top performing euro zone sectors this year.
However, investors stayed away from making big bets on Wednesday, ahead of the U.S. central bank’s policy announcement due at 1800 GMT. Policymakers are widely expected to reaffirm their stance to keep monetary policy loose until enough economic progress has been made.
Earnings at European companies in the first quarter of 2021 are expected to surge 71.3% from a year earlier, according to Refinitiv IBES data, up from last week’s forecast of a 61.2% jump.
The world’s biggest advertising company WPP jumped 4.3% to the top of the FTSE 100 on returning to underlying growth in the first quarter, as clients launched new products and brands.
German food delivery company Delivery Hero surged 9.4%, after it forecast revenues to more than double in 2021.
Among decliners, Lysol maker Reckitt Benckiser Group fell 3.9% , even as the company backed its full-year outlook.
Italian energy service group Saipem fell 5.1% after it missed quarterly profit estimates and flagged uncertainty over a Mozambique project.
Swedish communications provider Sinch AB tumbled 10.8% to the bottom of the STOXX 600 despite a rise in first-quarter profit, as it said that some of its sectors were still under pressure from the pandemic.",https://www.reuters.com/article/us-europe-stocks/european-stocks-end-flat-between-earnings-optimism-fed-caution-idUSKBN2CF0SV
4,"European stocks end flat between earnings optimism, Fed caution",2021-04-28T16:01:18Z,European stocks ended flat on Wednesday as optimism over a swathe of positive bank earnings was offset by caution setting in before the U.S. Federal Reserve's policy decision.,"(Reuters) -European stocks ended flat on Wednesday as optimism over a swathe of positive bank earnings was offset by caution setting in before the U.S. Federal Reserve’s policy decision.
The German share price index DAX graph is pictured at the stock exchange in Frankfurt, Germany, April 27, 2021. REUTERS/Staff
The pan-European STOXX 600 index ended largely unchanged, with bank stocks .SX7P leading gains among the regional sectors. The subindex ended 1.5% higher.
Deutsche Bank jumped 10.7% to the top of the STOXX 600, as strength at its investment bank helped the German lender post a better-than-expected first-quarter net profit.
Spanish bank Santander rose 2.7% after it beat first-quarter forecasts with its profit, while not adding to provisions for the pandemic and booking record U.S. earnings.
Lloyds Banking Group also rose 3.5% after reporting a better-than-expected profit, while Swedish bank SEB marked small gains on a profit beat.
“At a market level, Europe has performed strongly year-to-date and it’s clear that there has been an anticipation that the recovery will be quite sharp and strong,” said Tom Dorner, investment director for European equities at Aberdeen Standard Investments. “You’re still seeing a rotation in the market in favour of the more cyclical names like banks and autos.”
The buying into cyclicals has seen travel and leisure, automobiles, basic resources and banks among the top performing euro zone sectors this year.
However, investors stayed away from making big bets on Wednesday, ahead of the U.S. central bank’s policy announcement due at 1800 GMT. Policymakers are widely expected to reaffirm their stance to keep monetary policy loose until enough economic progress has been made.
Earnings at European companies in the first quarter of 2021 are expected to surge 71.3% from a year earlier, according to Refinitiv IBES data, up from last week’s forecast of a 61.2% jump.
The world’s biggest advertising company WPP jumped 4.3% to the top of the FTSE 100 on returning to underlying growth in the first quarter, as clients launched new products and brands.
German food delivery company Delivery Hero surged 9.4%, after it forecast revenues to more than double in 2021.
Among decliners, Lysol maker Reckitt Benckiser Group fell 3.9% , even as the company backed its full-year outlook.
Italian energy service group Saipem fell 5.1% after it missed quarterly profit estimates and flagged uncertainty over a Mozambique project.
Swedish communications provider Sinch AB tumbled 10.8% to the bottom of the STOXX 600 despite a rise in first-quarter profit, as it said that some of its sectors were still under pressure from the pandemic.",https://www.reuters.com/article/europe-stocks/update-2-european-stocks-end-flat-between-earnings-optimism-fed-caution-idUSL4N2ML2D4
5,"Alphabet pushes S&P 500 to record high, props up Nasdaq",2021-04-28T15:59:34Z,"A surge in shares of Alphabet following strong earnings drove the S&P 500 to a record high and bolstered the Nasdaq index, while investors hoped that the Federal Reserve would stick to its promise of keeping monetary policy loose.","(Reuters) - A surge in shares of Alphabet following strong earnings drove the S&P 500 to a record high and bolstered the Nasdaq index, while investors hoped that the Federal Reserve would stick to its promise of keeping monetary policy loose.
FILE PHOTO: A man walks by the Federal Reserve Bank of New York Building in New York City, U.S., April 26, 2021. REUTERS/Shannon Stapleton
Google parent Alphabet Inc jumped 5.4% on reporting a record profit for the second consecutive quarter and announcing a $50 billion share buyback.
The S&P 500 communication services sector, which houses Alphabet, added 2.3% and led gains among the 11 major S&P 500 sectors.
Market participants are also prepping for results of Apple Inc and Facebook Inc after markets close.
Facebook Inc is expected to report a rise in first-quarter revenue, while Apple Inc is expected to post a more than 32% jump in second-quarter revenue. Shares of Facebook rose 1.4%, while Apple dipped 0.2%.
Meanwhile, the U.S. central bank’s policy statement is expected to largely follow the mold established in December, when the Fed said it would not change monetary policy until there had been “substantial further progress” in meeting its maximum employment and 2% inflation goals. The statement is due at 2 p.m. EDT.
“Investors will get what they are expecting, which is continued super dovish comments from the Fed,” said Christopher Grisanti, chief equity strategist at MAI Capital Management in Cleveland.
“If there is any change from that stand, it’ll be a big deal for the markets, but that is unlikely.”
At 10:10 a.m. ET the Dow Jones Industrial Average was down 148.57 points, or 0.44%, at 33,836.36, the S&P 500 was up 8.11 points, or 0.19%, at 4,194.83 and the Nasdaq Composite was up 18.24 points, or 0.13%, at 14,108.45.
The tech-heavy Nasdaq on Monday completed a full recovery from its 11% correction that began in February, largely supported by a rise in mega-cap stocks and ebbing inflation fears.
Microsoft Corp met quarterly sales expectations and beat profit estimates, but its shares fell 2.9% due to skepticism about one-off benefits included in the results and high hopes after a year-long rally.
Biotech Amgen Inc’s 7.6% decline weighed on the Dow after it said its first-quarter sales and profit fell due to a 7% drop in its net drug prices and a hit from the COVID-19 pandemic.
Boeing Co fell 3% after posting a wider-than-expected quarterly loss, even as it reported an improvement in aircraft deliveries as its 737 MAX jets come back on line.
Overall earnings for S&P 500 companies in the first quarter are expected to jump 35% from a year earlier, which would be the biggest surge since the fourth quarter of 2010, according to Refinitiv IBES data.
U.S. President Joe Biden is expected to unveil a sweeping $1.8 trillion package for families and education in his first joint speech to Congress, senior White House officials say.
Advancing issues outnumbered decliners by a 1.12-to-1 ratio on the NYSE. Declining issues outnumbered advancers for a 1.19-to-1 ratio on the Nasdaq. The S&P index recorded 55 new 52-week highs and no new low, while the Nasdaq recorded 61 new highs and nine new lows.",https://www.reuters.com/article/us-usa-stocks/alphabet-pushes-sp-500-to-record-high-props-up-nasdaq-idUSKBN2CF1I9
6,Demand surges for New York Fed's reverse repo facility,2021-04-28T15:52:24Z,Financial firms swimming in reserves are parking more of their cash overnight at the New York Federal Reserve's reverse repo facility.,"FILE PHOTO: People walk wearing masks outside The Federal Reserve Bank of New York in New York City, U.S., March 18, 2020. REUTERS/Lucas Jackson
(Reuters) - Financial firms swimming in reserves are parking more of their cash overnight at the New York Federal Reserve’s reverse repo facility.
Usage of the reverse repurchase facility, which gives firms somewhere to temporarily place their cash in exchange for a small return, surged in recent days. Firms stored $142 billion overnight with the facility on Tuesday and $101 billion on Monday, the largest operations since roughly a year ago.
The higher demand for the facility, which typically sees little take-up, is increasing speculation that the Fed may need to make some technical adjustments soon to keep short-term rates from falling too low.
“The problem of excess front-end cash is only going to worsen over the next few months,” John Canavan, lead analyst for Oxford Economics wrote in a research note on Wednesday.
Short-term interest rates are drifting lower in part because of the Fed’s $120 billion in monthly bond purchases, a surge in bank reserves and a drop in the government’s cash stockpile as it pays out pandemic relief payments and tax refunds.
The Fed’s options include adjusting the Fed’s overnight reverse repo rate for non-banks, which is currently at 0%, or raising the interest it pays banks for excess reserves (IOER) from 0.10%.
But some analysts, including Canavan, say the Fed may not necessarily act at this week’s meeting. The central bank has historically only made such technical adjustments, when the effective federal funds rate is within 5 basis points of the top or bottom of the target range, which is currently 0-0.25%. The Fed funds rate has held steady at 0.07% since mid-February, except for a temporary dip to 0.06% at the end of March.
With the tool working “for the time being,” the Fed could also choose to keep such adjustments separate from monetary policy decisions, Ian Lyngen and Ben Jeffery of BMO Capital Markets wrote in an emailed note on Tuesday.",https://www.reuters.com/article/usa-fed-reverse-repo/demand-surges-for-new-york-feds-reverse-repo-facility-idUSL1N2ML1W4
7,Demand surges for New York Fed's reverse repo facility,2021-04-28T15:52:24Z,Financial firms swimming in reserves are parking more of their cash overnight at the New York Federal Reserve's reverse repo facility.,"FILE PHOTO: People walk wearing masks outside The Federal Reserve Bank of New York in New York City, U.S., March 18, 2020. REUTERS/Lucas Jackson
(Reuters) - Financial firms swimming in reserves are parking more of their cash overnight at the New York Federal Reserve’s reverse repo facility.
Usage of the reverse repurchase facility, which gives firms somewhere to temporarily place their cash in exchange for a small return, surged in recent days. Firms stored $142 billion overnight with the facility on Tuesday and $101 billion on Monday, the largest operations since roughly a year ago.
The higher demand for the facility, which typically sees little take-up, is increasing speculation that the Fed may need to make some technical adjustments soon to keep short-term rates from falling too low.
“The problem of excess front-end cash is only going to worsen over the next few months,” John Canavan, lead analyst for Oxford Economics wrote in a research note on Wednesday.
Short-term interest rates are drifting lower in part because of the Fed’s $120 billion in monthly bond purchases, a surge in bank reserves and a drop in the government’s cash stockpile as it pays out pandemic relief payments and tax refunds.
The Fed’s options include adjusting the Fed’s overnight reverse repo rate for non-banks, which is currently at 0%, or raising the interest it pays banks for excess reserves (IOER) from 0.10%.
But some analysts, including Canavan, say the Fed may not necessarily act at this week’s meeting. The central bank has historically only made such technical adjustments, when the effective federal funds rate is within 5 basis points of the top or bottom of the target range, which is currently 0-0.25%. The Fed funds rate has held steady at 0.07% since mid-February, except for a temporary dip to 0.06% at the end of March.
With the tool working “for the time being,” the Fed could also choose to keep such adjustments separate from monetary policy decisions, Ian Lyngen and Ben Jeffery of BMO Capital Markets wrote in an emailed note on Tuesday.",https://www.reuters.com/article/us-usa-fed-reverse-repo/demand-surges-for-new-york-feds-reverse-repo-facility-idUSKBN2CF267
8,German yields rise to highest since late Feb ahead of Fed,2021-04-28T15:23:47Z,"German 10-year bond yields rose to their highest since late February on Wednesday, catching up with a jump in Treasury yields ahead of the close of the U.S. Federal Reserve's policy meeting later in the session.","German 10-year bond yields rose to their highest since late February on Wednesday, catching up with a jump in Treasury yields ahead of the close of the U.S. Federal Reserve's policy meeting later in the session. No major policy changes are expected at the meeting, but investors are awaiting Fed Chairman Jerome Powell's comments for any signs that the bank may start talking about tapering its bond buying. The Fed has promised it will continue purchases at their current pace until ""substantial further progress"" is made in an economic recovery from the pandemic.
Benchmark Treasury yields have stabilized in April after suffering their worst quarterly performance since 2009, when expectations that a vast U.S. fiscal stimulus would reignite economic growth and inflation pushed yields, which move inversely with prices, sharply higher. But the stabilization has started to lose steam this week, with 10-year yields up 8 basis points over the last two sessions.
German bonds, which are closely correlated with Treasuries, caught up with the Treasury sell-off on Wednesday. Germany's 10-year yield, the benchmark for the euro area, was up 2 basis points to -0.23%, after rising to its highest since late February at -0.203%.
Italy's 10-year bond yield broke another seven-month high at 0.864%, though the sell-off in German bonds helped bring down the closely watched risk premium Italy pays on top of Germany down to around 106 bps. It had touched 108 bps on Tuesday, the highest since early February. Jens Peter Sorensen, chief analyst at Danske Bank, said the negative open to the European bond market was expected, given Treasury yields mostly rose following the European close on Tuesday. Bond yields rise when prices fall.
""The upward move in U.S. Treasury yields is driven by the expectations for a more upbeat Federal Reserve committee as well as the solid rise in the consumer confidence,"" Sorensen said, referring to U.S. data for April that jumped to a 14-month high on Tuesday. In contrast, German consumer morale deteriorated unexpectedly heading into May, given rising COVID-19 infections and a re-tightening of restrictions in many areas of Europe's largest economy.
In the primary market, Germany raised 2.132 billion euros from the re-opening of a 15-year bond.
(This story has not been edited by Devdiscourse staff and is auto-generated from a syndicated feed.)",https://www.devdiscourse.com/article/business/1552651-german-yields-rise-to-highest-since-late-feb-ahead-of-fed
9,"US STOCKS-Alphabet pushes S&P 500 to record high, props up Nasdaq",2021-04-28T14:33:08Z,"A surge in shares of Alphabet following strong earnings drove the S&P 500 to a record high and bolstered the Nasdaq index, while investors hoped that the Federal Reserve would stick to its promise of keeping monetary policy loose.","A surge in shares of Alphabet following strong earnings drove the S&P 500 to a record high and bolstered the Nasdaq index, while investors hoped that the Federal Reserve would stick to its promise of keeping monetary policy loose. Google parent Alphabet Inc jumped 5.4% on reporting a record profit for the second consecutive quarter and announcing a $50 billion share buyback.
The S&P 500 communication services sector, which houses Alphabet, added 2.3% and led gains among the 11 major S&P 500 sectors. Market participants are also prepping for results of Apple Inc and Facebook Inc after markets close.
Facebook Inc is expected to report a rise in first-quarter revenue, while Apple Inc is expected to post a more than 32% jump in second-quarter revenue. Shares of Facebook rose 1.4%, while Apple dipped 0.2%. Meanwhile, the U.S. central bank's policy statement is expected to largely follow the mold established in December, when the Fed said it would not change monetary policy until there had been ""substantial further progress"" in meeting its maximum employment and 2% inflation goals. The statement is due at 2 p.m. EDT.
""Investors will get what they are expecting, which is continued super dovish comments from the Fed,"" said Christopher Grisanti, chief equity strategist at MAI Capital Management in Cleveland. ""If there is any change from that stand, it'll be a big deal for the markets, but that is unlikely.""
At 10:10 a.m. ET the Dow Jones Industrial Average was down 148.57 points, or 0.44%, at 33,836.36, the S&P 500 was up 8.11 points, or 0.19%, at 4,194.83 and the Nasdaq Composite was up 18.24 points, or 0.13%, at 14,108.45. The tech-heavy Nasdaq on Monday completed a full recovery from its 11% correction that began in February, largely supported by a rise in mega-cap stocks and ebbing inflation fears.
Microsoft Corp met quarterly sales expectations and beat profit estimates, but its shares fell 2.9% due to skepticism about one-off benefits included in the results and high hopes after a year-long rally. Biotech Amgen Inc's 7.6% decline weighed on the Dow after it said its first-quarter sales and profit fell due to a 7% drop in its net drug prices and a hit from the COVID-19 pandemic.
Boeing Co fell 3% after posting a wider-than-expected quarterly loss, even as it reported an improvement in aircraft deliveries as its 737 MAX jets come back on line. Overall earnings for S&P 500 companies in the first quarter are expected to jump 35% from a year earlier, which would be the biggest surge since the fourth quarter of 2010, according to Refinitiv IBES data.
U.S. President Joe Biden is expected to unveil a sweeping $1.8 trillion package for families and education in his first joint speech to Congress, senior White House officials say. Advancing issues outnumbered decliners by a 1.12-to-1 ratio on the NYSE. Declining issues outnumbered advancers for a 1.19-to-1 ratio on the Nasdaq.
The S&P index recorded 55 new 52-week highs and no new low, while the Nasdaq recorded 61 new highs and nine new lows.
(This story has not been edited by Devdiscourse staff and is auto-generated from a syndicated feed.)",https://www.devdiscourse.com/article/business/1552573-us-stocks-alphabet-pushes-sp-500-to-record-high-props-up-nasdaq
