id,sentence
0,"The largest interest rate hike in 28 years, three-quarters of a percentage point, was announced by the Federal Reserve as it tries to rein in surging prices."
1,The Federal Reserve announcedits largest interest rate hike in 28 years on Wednesday in an attempt to battle the nation's continuing surge in inflation.
2,Financial experts have said the key to this strategy is supply and demand.
3,"The Federal Reserve—the nation's central bank, commonly called ""the Fed""—increased interest rates by three-quarters of a percentage point."
4,The move comes after the government released new numbers for the consumer price index that showed annual inflation moderated in April.
5,"However, the index increased at an annual rate of 8.3 percent, and the Bureau of Labor Statistics said last Friday that inflation rose 8.6 percent from a year ago, the fastest increase since 1981."
6,"The Fed's plan, which was announced to the media by Chairman Jerome Powell, is to raise short-term interest rates to battle inflation."
7,"When discussing rising inflation, many experts point to the positive growth seen in the economy: More people have more money, but there are too few goods to buy."
8,This results in a rise in prices.
9,"For a better explanation of why the Fed is raising interest rates, The New York Times consulted with two experts for a story the newspaper ran on Tuesday."
10,"One was Kathy Jones, the chief fixed-income strategist at the Schwab Center for Financial Research, and the other was Edmund Phelps, a Columbia University economist."
11,They explained that the Fed is seeking to restore a balance in supply and demand with an increase in interest rates by making it more expensive to borrow money.
12,"In other words, the Fed's hope is that people will be discouraged from spending their money because of higher interest rates, which will decrease demand and eventually lower inflation."
13,One example discussed in the Times was the recent rise in mortgage rates.
14,"While this makes it more expensive to buy a house, inflation may not be affected in the short term because of the high demand for houses, a result of the coronavirus pandemic."
15,"While the Fed's interest rate increase can't address a housing shortage, higher rates could eventually address the relationship between supply and demand in a year or more, because fewer people will be taking on new mortgages."
16,"""By raising rates, the Fed is trying to make you slow down your spending."
17,"That happens when the cost of money goes up for a car loan or mortgage or something else you want to spend money on,"" Jones told the Times."
18,"""The higher cost of money reduces your purchasing power—what you can afford to buy—and the Fed is effectively making you buy less."
19,"And that should bring down inflation."""
20,"Phelps said the current economic situation is a result of ""aggregate demand exceeding supply, and that's causing prices to rise."""
21,"Therefore, he said, the Fed is trying to ""clamp down on demand"" by raising interest rates."
22,"Jim Baird, chief investment officer at Plante Moran Financial Advisors, told CNBC that he thinks the interest rate hike may not be enough to address inflation."
23,"""Can the Fed bring down inflation on their own?"
24,"I think the answer is 'no,'"" Baird told the business news outlet."
25,"""They certainly can help rein in the demand side by higher interest rates."
26,"But it's not going to unload container ships, it's not going to reopen production capacity in China, it's not going to hire the long-haul truckers we need to get things across the country."""
27,"However, Baird noted that ""the Fed has been reasonably successful in convincing markets that they have their eye on the ball and long-term inflation expectations have been held in check."""
28,"He added, ""As we look forward, that will continue to be the primary focus."
29,"It's something that we're watching very closely, to make sure that investors don't lose faith in [the central bank's] ability to keep a lid on long-term inflation."""
30,"Update 6/15/22, 3 p.m."
31,ET: This story was updated with the Federal Reserve's announcement of its 0.75 percent interest rate hike.
32,"The rate hike was the biggest made by the U.S. central bank since 1994
 The Federal Reserve raised its target interest rate by three-quarters of a percentage point on Wednesday to stem a disruptive surge in inflation, and projected a slowing economy and rising unemployment in the months to come."
33,"The rate hike was the biggest made by the U.S. central bank since 1994, and was delivered after recent data showed little progress in its inflation battle."
34,"U.S. central bank officials flagged a faster path of increases in borrowing costs to come as well, more closely aligning monetary policy with a rapid shift this week in financial market views of what it will take to bring price pressures under control."
35,"“Inflation remains elevated, reflecting supply and demand imbalances related to the pandemic, higher energy prices and broader price pressures,” the central bank’s policy-setting Federal Open Market Committee said in a statement at the end of its latest two-day meeting in Washington."
36,"“The committee is strongly committed to returning inflation to its 2% objective.”
 The statement continued to cite the Ukraine war and China lockdown policies as sources of inflation."
37,"The action raised the short-term federal funds rate to a range of 1.50% to 1.75%, and Fed officials at the median projected the rate increasing to 3.4% by the end of this year and to 3.8% in 2023 - a substantial shift from projections in March that saw the rate rising to 1.9% this year."
38,"The stricter monetary policy was accompanied with a downgrade to the Fed’s economic outlook, with the economy now seen slowing to a below-trend 1.7% rate of growth this year, unemployment rising to 3.7% by the end of this year, and continuing to rise to 4.1% through 2024."
39,"While no policymaker projected an outright recession, the range of economic growth forecasts edged toward zero in 2023 and the federal funds rate was seen falling in 2024."
40,The projections are a break with recent Fed efforts to cast tighter monetary policy and inflation control as consistent with steady and low unemployment.
41,The 4.1% jobless rate seen in 2024 is now slightly above the level Fed officials generally see as consistent with full employment.
42,"Since March, when Fed officials projected they could raise rates and control inflation with the unemployment rate remaining around 3.5%, inflation has stubbornly remained at a 40-year high, with no sign of it reaching the peak Fed policymakers hoped would arrive this spring."
43,"Even with the more aggressive interest rate measures taken on Wednesday, policymakers nevertheless see inflation as measured by the personal consumption expenditures price index at 5.2% through this year and slowing only gradually to 2.2% in 2024."
44,Kansas City Fed President Esther George was the only policymaker to dissent in Wednesday’s decision in preference for a half-percentage-point hike.
45,Fed Chair Jerome Powell is scheduled to hold a news conference at 2:30 p.m. EDT (1830 GMT) to elaborate on the latest policy meeting.
46,"Inflation has become the most pressing economic issue for the Fed and has begun to shape the political landscape as well, with household sentiment worsening amid rising food and gasoline prices."
47,Be smart with your money.
48,"Get the latest investing insights delivered right to your inbox three times a week, with the Globe Investor newsletter."
49,Sign up today.
