Statement Price Movement,Type,Test Size,Number of Matching Sentences,Accuracy,F1 Score,Precision,Recall,Insights
Statement Similarity Score,positive,0.2,15,0.2777777777777778,0.23529411764705882,0.2857142857142857,0.2,"The average similarity score shows a varying relationship with price movement. Generally, scores above approximately 0.5 suggest a tendency towards positive price movement, while scores below 0.5 are more likely associated with negative price movements. However, there are exceptions, indicating that additional factors may also influence price behavior."
News Similarity Score,positive,0.2,20,0.4444444444444444,0.5454545454545454,0.5,0.6,"The analysis reveals a complex relationship between the Average Similarity Score and Price Movement. Generally, higher similarity scores above 0.6 tend to correlate with Positive price movements, while scores below that threshold are more likely to lead to Negative movements. However, there are exceptions, indicating that other factors may also play a role in influencing price changes."
Statement Similarity Score,positive,0.33,15,0.5333333333333333,0.6111111111111112,0.5789473684210527,0.6470588235294118,"The average similarity score displays a nuanced relationship with price movement. Higher similarity scores (around 0.56 and above) are frequently associated with Positive price movements, whereas lower scores (below 0.50) tend to correlate with Negative price movements. However, there are exceptions indicating that context might play a significant role, suggesting that moving beyond mere score thresholds and considering contextual factors could enhance prediction accuracy."
News Similarity Score,positive,0.33,20,0.5333333333333333,0.631578947368421,0.5714285714285714,0.7058823529411765,"The average similarity scores demonstrate a varied impact on price movements. Scores around 0.5 or lower tend to correspond with negative price movements, while scores above that threshold tend to be associated with positive price movements. The data indicates a potential threshold around 0.6 where the transition from negative to positive price movement is prominent."
Statement Similarity Score,negative,0.2,15,0.6,0.625,0.625,0.625,"The analysis indicates that higher average similarity scores are generally associated with positive price movements, while lower scores tend to correlate with negative movements. For example, scores above approximately 0.54 often predict positive outcomes, whereas scores around or below 0.50 frequently lead to negative movements. Understanding these thresholds can assist in forecasting market responses to FOMC communications."
News Similarity Score,negative,0.2,20,0.5333333333333333,0.631578947368421,0.5454545454545454,0.75,"The analysis of the training data reveals a correlation between the average similarity score and the price movement. Generally, scores above approximately 0.630 indicate a higher likelihood of positive price movement, while scores below this threshold tend to correlate with negative price movement. This reflects market perception influenced by the language and sentiment of FOMC statements and press conferences."
Statement Similarity Score,negative,0.33,15,0.6,0.6875,0.5789473684210527,0.8461538461538461,"The analysis indicates that higher average similarity scores tend to correlate with positive price movements, while lower scores are more likely to result in negative movements. A score range around 0.5 reveals a tendency towards positive movements, while scores below approximately 0.48 are often associated with negative outcomes."
News Similarity Score,negative,0.33,20,0.56,0.7027027027027027,0.5416666666666666,1.0,"A higher average similarity score generally correlates with a positive price movement, while lower scores are often associated with negative movements. Observations indicate that scores around or above 0.68 frequently lead to positive outcomes, while scores below this threshold may lead to negative outcomes."
Statement Similarity Score,positive,0.2,20,0.5,0.64,0.5333333333333333,0.8,"The average similarity score tends to correlate positively with price movements, where higher similarity scores often lead to positive price movements. Scores below approximately 0.47 are associated with negative price movements, while scores above this threshold frequently indicate a positive price response. This suggests that market reactions are influenced by how closely aligned the press conference content is with prior expectations set by FOMC statements and news."
News Similarity Score,positive,0.2,25,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0,"The analysis of the training data shows that higher average similarity scores (>0.6) tend to correlate with positive price movements, while lower scores (<0.6) often align with negative movements. This implies that similarities in messaging post-FOMC meetings positively influence market sentiment, leading to price increases."
