id,sentence
0,"Meanwhile, American women expect far less than men when it comes to salary in a new job offer, according to the new Federal Reserve data."
1,"article
 American workers’ expectations when it comes to salary have risen to a new high of nearly $76,000 a year, according to new data from the Federal Reserve Bank of New York."
2,"The average reservation wage – or the lowest wage that someone would be willing to accept for a new job – rose to $75,811 in March."
3,"The data comes from the New York Fed’s most recent SCE Labor Market Survey , which said the figure is $2,144 higher than it was in November 2022, when the survey was last conducted."
4,Respondents were asked about the lowest annual salary they would be most likely to accept if they were offered a job in their industry.
5,"RELATED: The best time to sell your home is this week, data reveals
 When comparing expectations of male and female workers, the Fed’s survey found that men increased their wage expectations since November by about 4% to $88,883."
6,"Women, on the other hand, increased their wage expectations by slightly over 2% to $63,069."
7,"Meanwhile, those with a college degree now expect $97,270 annually to accept a new job."
8,"Those with less than a college degree actually reduced their wage expectations since November by $160 to $59,683."
9,"For comparison, the median U.S. household income was just shy of $71,000 in 2021, according to the U.S. Census Bureau ."
10,"The new high in average reservation wage comes as America’s employers added a strong 236,000 jobs in March, suggesting that the economy remains on solid footing despite the nine interest rate hikes the Federal Reserve has imposed over the past year in its drive to tame inflation."
11,"The unemployment rate fell to 3.5% , just above the 53-year low of 3.4% set in January, according to data from the Bureau of Labor Statistics."
12,"RELATED: Social Security cost-of-living adjustment could be much smaller next year
 This story was reported from Cincinnati."
13,The Associated Press contributed.
14,"In the US, investors are awaiting the Federal Reserve’s latest interest rate decision amid hopes that tonight’s quarter point increase will be the last in the cycle."
15,"However, jobs data from ADP and service sector inflation statistics from S&P suggest the US economy is still running hot."
16,"I n the US, investors are awaiting the Federal Reserve’s latest interest rate decision amid hopes that tonight’s quarter point increase will be the last in the cycle."
17,"However, jobs data from ADP and service sector inflation statistics from S&P suggest the US economy is still running hot."
18,"Closer to home, the FTSE 100 index today regained some lost ground during a busy session for blue-chip updates, but remains well below where it started the week."
19,"Alongside the latest developments at Lloyds Banking Group, Flutter Entertainment and Barratt Developments, markets have reacted to the FCA’s decision last night to reform listing rules in order to make it easier for companies to list in London."
20,"If, as expected, the Federal Reserve raises interest rates yet again in its drive to cool..."
21,This is a carousel.
22,"Use Next and Previous buttons to navigate
 NEW YORK (AP) — If, as expected, the Federal Reserve raises interest rates yet again Wednesday in its drive to cool inflation, much of America will be directly affected."
23,"Rates on credit cards, mortgages and auto loans, which have been surging since the Fed began raising rates last year, all stand to rise even more."
24,The result will be more burdensome loan costs for both consumers and businesses.
25,"On the other hand, many banks are now offering higher rates on savings accounts, giving savers the opportunity to earn more interest."
26,"Economists worry, though, about whether the Fed’s streak of 10 rate hikes since March 2022 will eventually cause the economy to slow too much and cause a recession."
27,"Here’s what to know:
 WHAT’S PROMPTING THE RATE INCREASES?"
28,The short answer: Inflation.
29,"Inflation has been slowing in recent months, but it's still high."
30,"Measured over a year earlier, consumer prices were up 5% in March, down sharply from February’s 6% year-over-year increase."
31,"The Fed’s goal is to slow consumer spending, thereby reducing demand for homes, cars and other goods and services, eventually cooling the economy and lowering prices."
32,Fed Chair Jerome Powell has acknowledged in the past that aggressively raising rates would bring “some pain” for households but said that doing so is necessary to crush high inflation.
33,WHO IS MOST AFFECTED?
34,"Anyone borrowing money to make a large purchase, such as a home, car or large appliance, will likely take a hit."
35,The new rate will also increase monthly payments and costs for any consumer who is already paying interest on credit card debt.
36,"“Consumers should focus on building up emergency savings and paying down debt,” said Greg McBride, Bankrate.com's chief financial analyst."
37,"“Even if this proves to be the final Fed rate hike, interest rates are still high and will remain that way.”
 WHAT'S HAPPENING WITH CREDIT CARDS?"
38,"Even before the Fed’s latest move, credit card borrowing had reached the highest level since 1996, according to Bankrate.com."
39,"The most recent data available showed that 46% of people were carrying debt from month to month, up from 39% a year ago."
40,"Total credit card balances were $986 billion in the fourth quarter of 2022, according to the Fed, a record high, though that amount isn’t adjusted for inflation."
41,"For those who don’t qualify for low-rate credit cards because of weak credit scores, the higher interest rates are already affecting their balances."
42,HOW WILL AN INCREASE AFFECT CREDIT CARD RATES?
43,The Fed doesn’t directly dictate how much interest you pay on your credit card debt.
44,But the Fed’s rate is the basis for your bank’s prime rate.
45,"In combination with other factors, such as your credit score, the prime rate helps determine the Annual Percentage Rate, or APR, on your credit card."
46,The latest increase will likely raise the APR on your credit card 0.25%.
47,"So, if you have a 20.9% rate, which is the average according to the Fed's data, it might increase to 21.15%."
48,"If you don’t carry a balance from month to month, the APR is less important."
49,"But suppose you have a $4,000 credit balance and your interest rate is 20%."
50,"If you made only a fixed payment of $110 per month, it would take you a bit under five years to pay off your credit card debt, and you would pay about $2,200 in interest."
51,"If your APR increased by a percentage point, paying off your balance would take two months longer and cost an additional $215."
52,WHAT IF I HAVE MONEY TO SAVE?
53,"After years of paying low rates for savers, some banks are finally offering better interest on deposits."
54,"Though the increases may seem small, compounding interest adds up over the years."
55,Interest on savings accounts doesn't always track what the Fed does.
56,"But as rates have continued to rise, some banks have improved their terms for savers as well."
57,"Even if you’re only keeping modest savings in your bank account, you could make more significant gains over the long term by finding an account with a better rate."
58,"While the biggest national banks have yet to dramatically change the rates on their savings accounts (clocking in at an average of just 0.23%, according to Bankrate), some mid-size and smaller banks have made changes more in line with the Fed’s moves."
59,"Online banks in particular — which save money by not having brick-and-mortar branches and associated expenses — are now offering savings accounts with annual percentage yields of between 3% and 4%, or even higher, as well as 4% or higher on one-year Certificates of Deposit (CDs)."
60,Some promotional rates can reach as high as 5%.
61,WILL THIS AFFECT HOME OWNERSHIP?
62,"Last week, mortgage buyer Freddie Mac reported that the average rate on the benchmark 30-year mortgage edged up to 6.43% from 6.39% the week prior."
63,"A year ago, the average rate was lower: 5.10%."
64,Higher rates can add hundreds of dollars a month to mortgage payments.
65,Rates for 30-year mortgages usually track the moves in the 10-year Treasury yield.
66,"Rates can also be influenced by investors’ expectations for future inflation, global demand for U.S. Treasuries and what the Fed does."
67,"Most mortgages last for decades, so if you already have a mortgage, you won't be impacted."
68,"But if you're looking to buy and already paying more for food, gas and other necessities, a higher mortgage rate could put home ownership out of reach."
69,WHAT IF I WANT TO BUY A CAR?
70,"With shortages of computer chips and other parts easing, automakers are producing more vehicles."
71,Many are even reducing prices or offering limited discounts.
72,But rising loan rates and lower used-vehicle trade-in values have erased much of the savings on monthly payments.
73,"Since the Fed began raising rates in March 2022, the average new-vehicle loan rate has jumped from 4.5% to 7%, according to Edmunds data."
74,Used vehicle loans dropped slightly to 11.1%.
75,Loan durations average around 70 months — nearly six years — for new and used vehicles.
76,"Largely because of rate increases, the average monthly payment for both new and used vehicles has risen since March 2022, Edmunds says."
77,"The average new vehicle payment is up $72 to $729, Edmunds says."
78,"For used vehicles, the payment rose $20 a month to $546."
79,"The higher rates will keep out of the market people who have the ability to wait for more favorable terms, said Joseph Yoon, Edmunds’ consumer insights analyst."
80,"“But with inventory levels improving, it’s a matter of time before discounts and incentives start coming back into the equation,"" attracting more buyers, Yoon said."
81,"New vehicle average prices are down from the end of last year to $47,749."
82,But they're still high compared with even a year ago.
83,"The average used vehicle price dropped 7% from last May's peak, to $28,729, but prices are edging back up."
84,"Financing a new vehicle now costs $8,655 in interest."
85,Analysts say that's enough to chase many out of the auto market.
86,"Any Fed rate increase is typically passed through to auto borrowers, though it will be offset a bit by subsidized rates from manufacturers."
87,WHAT ABOUT MY JOB?
88,"The nation’s employers kept hiring in March, adding a healthy 236,000 jobs."
89,"The unemployment rate fell to 3.5%, just above the 53-year low of 3.4% set in January."
90,"At the same time, the report from the Labor Department suggested a slowdown, with pay growth also easing."
91,"Some economists argue that layoffs could help slow rising prices, and that a tight labor market fuels wage growth and higher inflation."
92,"Economists expect the unemployment rate to go up to 3.6% in April, a slight increase from January's half-century low of 3.4%."
93,WILL THIS AFFECT STUDENT LOANS?
94,Borrowers who take out new private student loans should prepare to pay more as as rates increase.
95,The current range for federal loans is between about 5% and 7.5%.
96,"That said, payments on federal student loans are suspended with zero interest until summer 2023 as part of an emergency measure put in place early in the pandemic."
97,"President Joe Biden has also announced some loan forgiveness, of up to $10,000 for most borrowers, and up to $20,000 for Pell Grant recipients — a policy that’s now being challenged in the courts."
98,"___
 AP Business Writers Christopher Rugaber in Washington, Tom Krisher in Detroit and Damian Troise and Ken Sweet in New York contributed to this report."
99,"___
 The Associated Press receives support from Charles Schwab Foundation for educational and explanatory reporting to improve financial literacy."
100,The independent foundation is separate from Charles Schwab and Co. Inc.
101,The AP is solely responsible for its journalism.
102,"The Federal Reserve latest policy decision on Wednesday could mark the end of its rate hiking campaign, the most aggressive from the central bank since the 1980s."
103,Investors expect the Federal Reserve to raise interest rates by another 0.25% on Wednesday in a move that could mark the end of its most aggressive rate hiking cycle since the 1980s.
104,"A 25 basis point increase in the fed funds rate would bring the target range for the Fed's benchmark interest rate to 5%-5.25%, the highest since September 2007."
105,The Fed will announce its policy decision at 2 p.m.
106,ET followed by Fed Chair Jay Powell's press conference at 2:30 p.m.
107,ET.
108,"The central bank is still battling inflation, which has come down from 40-year highs reached in June 2022 but that remains well above the Fed’s 2% target."
