Type,Statement Price Movement,Test Size,Number of Matching Sentences,Accuracy,F1 Score,Precision,Recall,Insights
Statement Similarity Score,positive,0.2,15,0.6111111111111112,0.5625,0.6428571428571429,0.5,"Analysis suggests that lower average similarity scores (below 0.3) are more commonly associated with negative price movements, while higher scores (above 0.35) tend to correlate with positive price movements."
News Similarity Score,positive,0.2,20,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,"Higher average similarity scores generally correlate with Positive price movements, while lower scores tend to be associated with Negative movements. A threshold near 0.45 appears indicative of Positive price movements."
Statement Similarity Score,positive,0.33,15,0.45,0.47619047619047616,0.4411764705882353,0.5172413793103449,"Higher average similarity scores tend to correlate with positive price movements, while lower scores typically indicate negative movements."
News Similarity Score,positive,0.33,20,0.5166666666666667,0.5797101449275363,0.5,0.6896551724137931,"Higher average similarity scores (above approximately 0.4) tend to correlate with positive price movements, whereas scores below this threshold indicate negative price movements."
Statement Similarity Score,negative,0.2,15,0.4444444444444444,0.5238095238095238,0.5,0.55,"Higher average similarity scores (above approximately 0.30) are generally correlated with Positive price movements, whereas lower scores (below 0.30) tend to indicate Negative price movements."
News Similarity Score,negative,0.2,20,0.4444444444444444,0.5454545454545454,0.5,0.6,"Higher average similarity scores (above 0.42) are correlated with positive price movements, while scores below 0.42 tend to predict negative movements. Negative price movements are often associated with lower similarity scores."
Statement Similarity Score,negative,0.33,15,0.5833333333333334,0.6268656716417911,0.6363636363636364,0.6176470588235294,"Higher Average Similarity Scores (above 0.3) tend to correlate with Positive price movements, while scores below 0.3 are more likely to predict Negative reversals."
News Similarity Score,negative,0.33,20,0.48333333333333334,0.45614035087719296,0.5652173913043478,0.38235294117647056,"The analysis indicates that lower Average Similarity Scores correlate with Negative Price Movements, while higher scores tend to be associated with Positive Price Movements. A significant threshold appears to be between 0.370 and 0.450, where scores below approximately 0.430 are more likely to result in Negative movements."
Statement Similarity Score,positive,0.2,20,0.5555555555555556,0.5,0.5714285714285714,0.4444444444444444,"Higher average similarity scores (generally above 0.35) tend to indicate Positive price movements, while lower scores (below 0.30) are often associated with Negative movements. There seems to be a threshold around 0.30 for distinguishing between the two movements."
News Similarity Score,positive,0.2,25,0.6111111111111112,0.65,0.5909090909090909,0.7222222222222222,"Higher average similarity scores (above 0.4) tend to correlate with positive price movements, while lower scores (below 0.4) correlate with negative price movements. A score around 0.45 acts as a potential threshold for stronger positive sentiment."
Statement Similarity Score,positive,0.33,20,0.5333333333333333,0.5172413793103449,0.5172413793103449,0.5172413793103449,"Higher Average Similarity Scores generally correlate with Positive price movements, while lower scores typically indicate Negative movements. A threshold around 0.31 appears to distinguish Positive from Negative movements."
News Similarity Score,positive,0.33,25,0.43333333333333335,0.39285714285714285,0.4074074074074074,0.3793103448275862,"The analysis indicates a negative price movement is prevalent among lower similarity scores (particularly those below 0.4), whereas scores above approximately 0.4 suggest a greater likelihood of positive price movements. Scores around 0.5 and above are particularly positive."
