Type,Statement Price Movement,Test Size,Number of Matching Sentences,Accuracy,F1 Score,Precision,Recall,Insights
Statement Similarity Score,positive,0.2,15,0.5833333333333334,0.5161290322580645,0.5333333333333333,0.5,"Higher average similarity scores (around 0.36 and above) are generally associated with High price volatility. Scores below approximately 0.30 tend to correlate with Low volatility. Scores between 0.30 and 0.36 show mixed results, with both High and Low recordings."
News Similarity Score,positive,0.2,20,0.6666666666666666,0.6,0.6428571428571429,0.5625,"The analysis reveals that an Average Similarity Score below approximately 0.43 is primarily associated with Low price volatility, while scores above this threshold correspond to High price volatility. Scores around 0.4-0.5 show mixed results, indicating some sensitivity to contextual factors."
Statement Similarity Score,positive,0.33,15,0.5166666666666667,0.40816326530612246,0.45454545454545453,0.37037037037037035,"The analysis indicates that higher average similarity scores are generally associated with High price volatility, while lower scores tend to correlate with Low price volatility. A threshold around 0.33 appears to be critical, with scores above this often leading to High volatility predictions."
News Similarity Score,positive,0.33,20,0.48333333333333334,0.0,0.0,0.0,"The analysis shows that higher average similarity scores generally correlate with low price volatility, while lower scores tend to indicate high volatility. Specifically, a threshold around 0.4 appears to be significant, as scores below this threshold are more likely associated with high volatility."
Statement Similarity Score,negative,0.2,15,0.4722222222222222,0.5957446808510638,0.4666666666666667,0.8235294117647058,"The analysis of the Average Similarity Score indicates that scores below approximately 0.27 are more likely to correlate with High price volatility, while scores above this threshold tend to correspond with Low price volatility."
News Similarity Score,negative,0.2,20,0.5833333333333334,0.5161290322580645,0.5714285714285714,0.47058823529411764,"Higher average similarity scores tend to correlate with high price volatility, while lower scores are generally associated with low volatility. A similarity score threshold of approximately 0.43 appears significant in differentiating between high and low price volatility."
Statement Similarity Score,negative,0.33,15,0.5333333333333333,0.06666666666666667,0.5,0.03571428571428571,"The analysis indicates that lower average similarity scores are correlated with high price volatility, while higher scores generally align with low price volatility. Specifically, scores below ~0.29 have a higher likelihood of signaling high volatility."
News Similarity Score,negative,0.33,20,0.4666666666666667,0.1111111111111111,0.25,0.07142857142857142,"A higher average similarity score tends to correlate with low price volatility, while lower scores are often associated with high volatility. The threshold for price volatility appears to be around 0.4, with scores above generally indicating low volatility and scores below corresponding with higher volatility."
Statement Similarity Score,positive,0.2,20,0.5833333333333334,0.2857142857142857,0.6,0.1875,"A higher Average Similarity Score is generally associated with Low Price Volatility. Multiple records with scores below approximately 0.3 tend to indicate Low volatility, while scores above 0.38 are more likely to flag High volatility."
News Similarity Score,positive,0.2,25,0.5555555555555556,0.2727272727272727,0.5,0.1875,"The analysis indicates that lower Average Similarity Scores correlate with Low price volatility, while scores above 0.48 tend to predict High volatility. Scores between 0.4 and 0.48 show a mixed correlation, suggesting nuanced influences on volatility."
Statement Similarity Score,positive,0.33,20,0.5,0.16666666666666666,0.3333333333333333,0.1111111111111111,"The analysis indicates that higher average similarity scores (above approximately 0.35) tend to correlate with higher price volatility, while lower scores generally associate with lower price volatility. A threshold around 0.30 appears to separate the two categories effectively."
News Similarity Score,positive,0.33,25,0.55,0.5970149253731343,0.5,0.7407407407407407,"The analysis suggests that higher Average Similarity Scores are often associated with High price volatility, while lower scores tend to correlate with Low volatility. A threshold score of approximately 0.4 appears significant, as most records above this score exhibit High volatility."
Statement Similarity Score,negative,0.2,20,0.5277777777777778,0.0,0.0,0.0,"The analysis shows that records with lower average similarity scores (typically below 0.25) tend to indicate Low price volatility, while those with higher scores (above 0.3) have a stronger tendency toward Low volatility as well. There were very few instances where the Price Volatility was High despite the scores being less than 0.3. Overall, it suggests an inverse relationship between average similarity scores and price volatility."
News Similarity Score,negative,0.2,25,0.5277777777777778,0.0,0.0,0.0,"The analysis indicates that lower average similarity scores (below approximately 0.45) are often associated with Low price volatility, while scores above this threshold can indicate High volatility. However, scores of around 0.45 do present some variability in outcomes."
Statement Similarity Score,negative,0.33,20,0.5333333333333333,0.0,0.0,0.0,"The average similarity score shows a strong correlation with price volatility. Scores below ~0.3 are generally associated with Low volatility, while scores around 0.3 and above can indicate contextually High volatility. Thresholds may vary depending on specific event-related news context."
News Similarity Score,negative,0.33,25,0.4666666666666667,0.3333333333333333,0.4,0.2857142857142857,"Higher average similarity scores (generally above 0.45) tend to be associated with High price volatility, while lower scores (below 0.4) are commonly linked to Low volatility. Scores from approximately 0.4 to 0.45 present more variability in volatility outcomes."
