id,sentence
0,"For release at 2:00 p.m. EST February 1, 2023
 Recent indicators point to modest growth in spending and production."
1,"Job gains have
 been robust in recent months, and the unemployment rate has remained low."
2,"Inflation has eased
 somewhat but remains elevated."
3,"Russia’s war against Ukraine is causing tremendous human and economic hardship and is
 contributing to elevated global uncertainty."
4,The Committee is highly attentive to inflation risks.
5,"The Committee seeks to achieve maximum employment and inflation at the rate of
 2 percent over the longer run."
6,"In support of these goals, the Committee decided to raise the
 target range for the federal funds rate to 4-1/2 to 4-3/4 percent."
7,"The Committee anticipates that
 ongoing increases in the target range will be appropriate in order to attain a stance of monetary
 policy that is sufficiently restrictive to return inflation to 2 percent over time."
8,"In determining the
 extent of future increases in the target range, the Committee will take into account the
 cumulative tightening of monetary policy, the lags with which monetary policy affects economic
 activity and inflation, and economic and financial developments."
9,"In addition, the Committee will
 continue reducing its holdings of Treasury securities and agency debt and agency mortgagebacked securities, as described in its previously announced plans."
10,"The Committee is strongly
 committed to returning inflation to its 2 percent objective."
11,"In assessing the appropriate stance of monetary policy, the Committee will continue to
 monitor the implications of incoming information for the economic outlook."
12,"The Committee
 would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that
 (more)
 -2-
 could impede the attainment of the Committee’s goals."
13,"The Committee’s assessments will take
 into account a wide range of information, including readings on labor market conditions,
 inflation pressures and inflation expectations, and financial and international developments."
14,"Voting for the monetary policy action were Jerome H. Powell, Chair; John C. Williams,
 Vice Chair; Michael S. Barr; Michelle W. Bowman; Lael Brainard; Lisa D. Cook; Austan D.
 Goolsbee; Patrick Harker; Philip N. Jefferson; Neel Kashkari; Lorie K. Logan; and Christopher
 J. Waller."
15,"-0-
 For media inquiries, please email media@frb.gov or call 202-452-2955."
16,"For release at 2:00 p.m. EST February 1, 2023
 Decisions Regarding Monetary Policy Implementation
 The Federal Reserve has made the following decisions to implement the monetary policy stance
 announced by the Federal Open Market Committee in its statement on February 1, 2023:
 • The Board of Governors of the Federal Reserve System voted unanimously to raise the
 interest rate paid on reserve balances to 4.65 percent, effective February 2, 2023."
17,"• As part of its policy decision, the Federal Open Market Committee voted to authorize and
 direct the Open Market Desk at the Federal Reserve Bank of New York, until instructed
 otherwise, to execute transactions in the System Open Market Account in accordance with
 the following domestic policy directive:
 ""Effective February 2, 2023, the Federal Open Market Committee directs the Desk to:
 o Undertake open market operations as necessary to maintain the federal funds rate
 in a target range of 4-1/2 to 4-3/4 percent."
18,"o Conduct overnight repurchase agreement operations with a minimum bid rate of
 4.75 percent and with an aggregate operation limit of $500 billion; the aggregate
 operation limit can be temporarily increased at the discretion of the Chair."
19,"o Conduct overnight reverse repurchase agreement operations at an offering rate of
 4.55 percent and with a per-counterparty limit of $160 billion per day; the percounterparty limit can be temporarily increased at the discretion of the Chair."
20,"o Roll over at auction the amount of principal payments from the Federal Reserve's
 holdings of Treasury securities maturing in each calendar month that exceeds a
 cap of $60 billion per month."
21,"Redeem Treasury coupon securities up to this
 monthly cap and Treasury bills to the extent that coupon principal payments are
 less than the monthly cap."
22,"o Reinvest into agency mortgage-backed securities (MBS) the amount of principal
 payments from the Federal Reserve's holdings of agency debt and agency MBS
 received in each calendar month that exceeds a cap of $35 billion per month."
23,"o Allow modest deviations from stated amounts for reinvestments, if needed for
 operational reasons."
24,"o Engage in dollar roll and coupon swap transactions as necessary to facilitate
 settlement of the Federal Reserve's agency MBS transactions."""
25,"• In a related action, the Board of Governors of the Federal Reserve System voted
 unanimously to approve a 1/4 percentage point increase in the primary credit rate to
 4.75 percent, effective February 2, 2023."
26,"In taking this action, the Board approved requests
 to establish that rate submitted by the Boards of Directors of the Federal Reserve Banks of
 Boston, New York, Philadelphia, Richmond, Atlanta, Chicago, Kansas City, Dallas, and
 San Francisco."
27,"(more)
 -2-
 This information will be updated as appropriate to reflect decisions of the Federal Open Market
 Committee or the Board of Governors regarding details of the Federal Reserve's operational tools
 and approach used to implement monetary policy."
28,"More information regarding open market operations and reinvestments may be found on the
 Federal Reserve Bank of New York's website."
