Statement Price Movement,Type,Test Size,Number of Matching Sentences,Accuracy,F1 Score,Precision,Recall,Insights
Statement Similarity Score,positive,0.2,15,0.3333333333333333,0.5,0.42857142857142855,0.6,"Higher average similarity scores are generally associated with positive price movements, while lower scores correlate with negative movements. Scores above approximately 0.52 tend to predict positive movements, while scores below this threshold often lead to negative predictions."
News Similarity Score,positive,0.2,20,0.3333333333333333,0.5,0.42857142857142855,0.6,"Higher average similarity scores (typically above 0.65) tend to correlate with positive price movements, while lower scores (below 0.55) are often associated with negative movements. Scores in the range of 0.55-0.65 show mixed outcomes."
Statement Similarity Score,positive,0.33,15,0.5333333333333333,0.5625,0.6,0.5294117647058824,"Higher Average Similarity Scores above 0.55 are generally associated with Positive price movements, while scores below approximately 0.50 tend to indicate Negative price movements."
News Similarity Score,positive,0.33,20,0.5666666666666667,0.6285714285714286,0.6111111111111112,0.6470588235294118,"In the training data, higher average similarity scores (generally above 0.65) are associated with positive price movements, while lower scores (below approximately 0.55) predict negative movements. The analysis indicates that a score above 0.65 is a strong indicator of positive price movement."
Statement Similarity Score,negative,0.2,15,0.7333333333333333,0.75,0.75,0.75,"The analysis indicates that higher average similarity scores (above 0.53) are generally associated with positive price movements, while lower scores (below 0.50) tend to correlate with negative price movements. This suggests a threshold effect where the similarity score can be an indicator of market sentiment."
News Similarity Score,negative,0.2,20,0.6666666666666666,0.7058823529411765,0.6666666666666666,0.75,"A higher average similarity score (above approximately 0.65) tends to correlate with Positive price movements, while scores below this threshold are often associated with Negative movements."
Statement Similarity Score,negative,0.33,15,0.48,0.5806451612903226,0.5,0.6923076923076923,Price movements tend to be Positive when the Average Similarity Score is higher (above approximately 0.5) and Negative when it falls below this threshold. The data indicates a clear relationship where higher similarity correlates with Positive price movements.
News Similarity Score,negative,0.33,20,0.52,0.5714285714285714,0.5333333333333333,0.6153846153846154,"Higher Average Similarity Scores (above 0.67) generally correlate with Positive price movements, while scores below 0.65 are more likely to indicate Negative price movements."
Statement Similarity Score,positive,0.2,20,0.5555555555555556,0.5555555555555556,0.625,0.5,"Higher average similarity scores tend to correlate with positive price movements, while lower scores often correlate with negative movements. A threshold around 0.5 appears significant, with scores below typically indicating negative movements and those above indicating positive outcomes."
News Similarity Score,positive,0.2,25,0.5555555555555556,0.6923076923076923,0.5625,0.9,"Higher average similarity scores (generally above 0.6) correlate strongly with Positive price movements, while scores below 0.55 often indicate Negative movements."
